,2024/07/24,2024/07/27,2024/08/31,2025/06/18,2025/08/07
前線,14300,14300,14600,19600,20400
想太,32100,32100,32300,33700,34000
SAWTOWNE,86900,87500,90700,287000,317000
Sohbana,15100,15100,15600,21700,22000
SOOOO,41200,41300,42000,44500,46800
そーいち,20300,20300,20500,21500,21700
そりっどびーつ,81600,81500,80800,77400,77200
DYES IWASAKI,47800,48000,52900,65000,67500
大漠波新,124000,125000,134000,189000,193000
タカオカミズキ,17100,17100,17200,17700,17800
タカノン,17400,17400,17500,17700,17800
たきび,20200,20200,20100,20300,20300
TaKU.K,34800,34900,35100,36200,36300
TAG,10500,10500,10700,12000,12100
タケノコ少年,30000,30000,30200,33100,33600
Tazuneru,121000,122000,126000,155000,159000
卓球少年,32300,32300,32400,34800,35100
DATEKEN,12600,12600,12700,14200,14400
daniwell,62900,63000,63300,66300,66900
Tansa,31200,31300,32200,34900,34900
Tanchiky,17000,17100,17600,22200,22700
ちいたな,38700,38700,38700,39000,39100
Chinozo,532000,532000,541000,575000,578000
チバニャン,210000,210000,211000,218000,218000
つきなみ,10100,10100,10100,10200,10200
つきり,34100,34200,34600,37400,37900
ツミキ,233000,233000,238000,285000,296000
罪草,71400,72900,80700,103000,105000
てぃあら,12500,12500,12600,12900,13000
Teary Planet,40600,40600,40500,44500,45200
D.J.ァネイロ,14200,14400,15500,20900,21400
DIVELA,172000,172000,173000,181000,182000
Dios,26200,26300,26500,28300,28600
Dixie Flatline,11500,11600,11700,13700,14100
低所得Ｐ,33500,33500,33500,33300,33200
tilt-six,11900,11900,11900,12200,12300
DECO*27,1940000,1940000,1970000,2440000,2500000
TeddyLoid,106000,106000,108000,140000,143000
てとら,11000,11100,11100,11400,11500
てにをは,240000,240000,244000,259000,261000
tepe,41700,41900,43300,46100,46700
Δ,17100,17100,17200,24900,31900
電ǂ鯨,31800,32000,32600,38800,41500
電ǂ鯨,18400,18400,18800,21500,21900
でんの子P,17800,17800,18100,21600,22000
とあ,143000,143000,145000,150000,151000
吐息,93200,93300,94300,104000,105000
Tofu_A,86700,86800,88000,95900,96700
どーぱみん,20200,20200,20500,24400,25700
TOKOTOKO,151000,151000,152000,160000,162000
ToShiro,20900,20900,21600,24600,24600
doriko,16700,16800,17500,24100,25000
とりぴよ,18400,18500,18800,22300,22700
Drop,25700,25700,25900,26800,27100
内緒のピアス,56600,56800,59400,110000,125000
中瀬ミル,13500,13600,14600,18800,19700
Naka-Dai,54100,54200,54900,53900,53500
ナカノは4番,16700,16800,17200,19300,19700
なきそ,231000,231000,233000,301000,345000
なきゃむりゃ,25700,25700,25900,26900,27100
南雲ゆうき,13200,13200,13200,13200,13200
梨本うい,31800,31900,32500,36900,37600
謎J,28200,28300,29300,44900,46300
natsu,24500,24500,24600,25600,25800
